Winner Type,Winner Num,First Player Type,First Player VP,Second Player Type,Second Player VP,Third Player Type,Third Player VP,Fourth Player Type,Fourth Player VP,Number Rounds,Largest Army Player,Largest Army Size,Longest Road Player,Longest Road Size,Num Initial Dots Player 1,Num Initial Dots Player 2,Num Initial Dots Player 3,Num Initial Dots Player 4,MCTS Num Ports,MCTS Num Cities,MCTS Num Settlements,MCTS Num Roads,MCTS Num Knights Played,MCTS Num YOP Played,MCTS Num Monopoly Played,MCTS Num Road Builder Played,MCTS Num VP Dev Cards,MCTS Num Devs Bought,MCTS Total Trades Accepted,MCTS Total Trades Proposed,MCTS Trades Proposed Successfully,Total Trades with Bank,Average Move per Turn,Average Number of Moves Considered by MCTS Algorithm,Average Number of Cycles Run by MCTS Algorithm per Decided Move
MCTS,2,Random,3,MCTS,10,Random,2,,,32,,,2,8,14,27,4,,1,2,4,15,0,0,0,0,0,0,24,44,12,12,8.454545454545455,100.0,10.575418994413408
MCTS,3,Random,5,Random,9,MCTS,10,,,76,2,4,3,12,13,26,18,,3,1,5,15,0,0,0,0,1,1,59,129,38,99,10.532467532467532,100.0,22.03006012024048
MCTS,3,Random,2,Random,2,MCTS,10,,,32,,,3,6,9,16,21,,1,2,4,15,0,0,0,0,0,0,37,44,8,16,9.242424242424242,100.0,15.231527093596059
MCTS,1,MCTS,10,Random,4,Random,5,,,67,3,3,1,12,23,9,25,,0,2,2,15,3,0,1,1,2,7,79,111,36,42,10.17910447761194,100.0,12.536263736263736
MCTS,1,MCTS,10,Random,6,Random,4,,,73,2,4,1,7,22,10,7,,2,3,2,15,3,1,1,0,0,5,84,124,36,54,10.123287671232877,100.0,11.853061224489796
MCTS,3,Random,5,Random,4,MCTS,11,,,46,3,5,3,7,18,13,18,,0,1,4,15,5,1,0,0,1,7,56,71,23,15,9.53191489361702,100.0,12.540350877192983
MCTS,1,MCTS,10,Random,2,Random,2,,,37,,,1,10,20,21,9,,0,3,2,15,1,0,0,0,0,1,47,62,15,18,10.216216216216216,100.0,19.034782608695654
MCTS,1,MCTS,10,Random,3,Random,6,,,63,3,5,1,7,24,8,16,,0,1,5,15,5,0,0,1,1,7,68,109,29,27,10.19047619047619,100.0,12.822384428223843
MCTS,3,Random,3,Random,2,MCTS,10,,,37,,,3,10,18,13,27,,1,3,1,15,1,0,0,0,1,2,46,62,14,25,10.342105263157896,100.0,13.838709677419354
MCTS,1,MCTS,10,Random,4,Random,2,,,47,,,1,9,21,19,10,,1,1,5,15,1,0,0,0,1,2,48,80,20,18,9.893617021276595,100.0,11.843333333333334
