Winner Type,Winner Num,First Player Type,First Player VP,Second Player Type,Second Player VP,Third Player Type,Third Player VP,Fourth Player Type,Fourth Player VP,Number Rounds,Largest Army Player,Largest Army Size,Longest Road Player,Longest Road Size,Num Initial Dots Player 1,Num Initial Dots Player 2,Num Initial Dots Player 3,Num Initial Dots Player 4,MCTS Num Ports,MCTS Num Cities,MCTS Num Settlements,MCTS Num Roads,MCTS Num Knights Played,MCTS Num YOP Played,MCTS Num Monopoly Played,MCTS Num Road Builder Played,MCTS Num VP Dev Cards,MCTS Num Devs Bought,MCTS Total Trades Accepted,MCTS Total Trades Proposed,MCTS Trades Proposed Successfully,Total Trades with Bank,Average Move per Turn,Average Number of Moves Considered by MCTS Algorithm,Average Number of Cycles Run by MCTS Algorithm per Decided Move
MCTS,2,Random,5,MCTS,11,Random,2,,,49,2,5,2,5,11,16,10,,1,2,2,11,5,1,0,1,1,8,58,80,22,21,9.64,100.0,9.723127035830618
MCTS,3,Random,2,Random,2,MCTS,10,,,61,3,5,3,9,11,13,22,,0,2,0,15,5,0,0,1,2,8,67,89,31,23,9.516129032258064,100.0,9.041558441558442
Random,1,Random,10,Random,9,MCTS,2,,,157,1,7,2,10,16,7,18,,0,0,2,2,0,0,0,0,0,0,205,292,91,0,9.78343949044586,100.0,14.53957528957529
MCTS,2,Random,3,MCTS,10,Random,4,,,66,2,10,3,7,5,21,10,,1,2,0,13,10,2,2,2,4,20,56,101,27,16,9.208955223880597,100.0,8.688346883468835
MCTS,2,Random,3,MCTS,10,Random,3,,,75,2,6,2,14,6,21,10,,0,2,0,15,6,1,2,1,2,13,63,117,26,24,9.18421052631579,100.0,9.642857142857142
MCTS,2,Random,3,MCTS,10,Random,3,,,41,2,4,2,8,11,22,15,,1,0,4,15,4,0,1,2,2,9,49,64,16,7,9.595238095238095,100.0,11.669291338582678
MCTS,3,Random,5,Random,3,MCTS,10,,,69,3,3,3,8,6,11,18,,1,0,4,15,3,1,1,0,2,7,70,106,27,36,9.228571428571428,100.0,10.336609336609337
MCTS,3,Random,6,Random,6,MCTS,10,,,51,3,6,3,7,13,15,22,,0,0,4,15,6,1,0,1,2,10,59,83,32,15,9.73076923076923,100.0,12.825396825396826
MCTS,3,Random,3,Random,6,MCTS,10,,,58,3,4,2,8,9,13,20,,0,3,0,15,4,1,0,0,2,7,55,81,27,29,9.220338983050848,100.0,11.116766467065869
MCTS,2,Random,5,MCTS,10,Random,3,,,53,2,5,1,6,13,20,13,,0,2,1,13,5,0,1,0,3,9,53,80,26,12,9.092592592592593,100.0,9.142857142857142
MCTS,1,MCTS,11,Random,5,Random,3,,,78,1,7,1,10,20,10,9,,0,0,3,11,7,1,0,1,4,13,83,140,45,18,9.807692307692308,100.0,10.666666666666666
MCTS,2,Random,3,MCTS,10,Random,7,,,50,2,9,3,6,8,25,13,,1,3,0,15,9,2,1,1,2,15,55,82,23,32,9.882352941176471,100.0,13.15
MCTS,2,Random,2,MCTS,10,Random,2,,,84,2,9,2,5,11,24,1,,0,0,2,13,9,2,1,2,4,18,108,126,31,26,8.929411764705883,100.0,9.050607287449393
MCTS,1,MCTS,10,Random,2,Random,4,,,57,1,10,3,5,21,5,6,,1,1,2,7,10,2,1,0,4,17,64,74,17,16,9.070175438596491,100.0,9.118343195266272
MCTS,1,MCTS,10,Random,7,Random,2,,,52,1,8,1,10,23,12,10,,0,2,0,15,8,2,1,1,2,14,60,71,29,29,9.711538461538462,100.0,11.067846607669617
