Winner Type,Winner Num,First Player Type,First Player VP,Second Player Type,Second Player VP,Third Player Type,Third Player VP,Fourth Player Type,Fourth Player VP,Number Rounds,Largest Army Player,Largest Army Size,Longest Road Player,Longest Road Size,Num Initial Dots Player 1,Num Initial Dots Player 2,Num Initial Dots Player 3,Num Initial Dots Player 4,MCTS Num Ports,MCTS Num Cities,MCTS Num Settlements,MCTS Num Roads,MCTS Num Knights Played,MCTS Num YOP Played,MCTS Num Monopoly Played,MCTS Num Road Builder Played,MCTS Num VP Dev Cards,MCTS Num Devs Bought,MCTS Total Trades Accepted,MCTS Total Trades Proposed,MCTS Trades Proposed Successfully,Total Trades with Bank,Average Move per Turn,Average Number of Moves Considered by MCTS Algorithm,Average Number of Cycles Run by MCTS Algorithm per Decided Move
MCTS,1,MCTS,10,Random,4,Random,3,,,59,1,5,1,10,22,21,6,,1,1,3,15,5,0,1,2,1,9,62,95,20,23,9.525423728813559,100.0,13.717201166180757
MCTS,1,MCTS,10,Random,2,Random,5,,,66,3,4,1,9,25,8,18,,0,1,4,15,4,0,1,0,2,7,66,104,34,28,9.621212121212121,100.0,12.170854271356784
MCTS,1,MCTS,10,Random,2,Random,2,,,48,1,3,1,12,17,11,11,,1,0,2,14,3,0,1,0,4,8,35,73,25,19,9.145833333333334,100.0,8.49618320610687
MCTS,2,Random,7,MCTS,10,Random,4,,,82,2,7,1,10,14,18,7,,1,0,5,15,7,1,2,0,3,13,82,135,35,29,9.662650602409638,100.0,10.361788617886178
MCTS,1,MCTS,10,Random,2,Random,5,,,60,1,7,3,7,21,8,19,,0,2,2,15,7,1,0,1,2,11,41,82,25,8,8.933333333333334,100.0,10.531446540880504
Random,1,Random,10,Random,5,MCTS,2,,,58,2,5,1,8,16,21,18,,1,0,2,3,1,0,1,0,0,2,81,105,36,4,9.827586206896552,100.0,13.892105263157895
Random,2,MCTS,2,Random,11,Random,4,,,47,2,3,2,5,16,17,11,,0,0,2,2,0,0,0,0,0,0,64,88,23,0,9.74468085106383,100.0,14.050156739811912
MCTS,3,Random,3,Random,5,MCTS,11,,,66,3,5,3,13,16,16,17,,1,2,1,15,5,0,1,1,2,9,67,101,30,38,9.850746268656716,100.0,11.87719298245614
Random,2,Random,4,Random,10,MCTS,6,,,57,2,5,3,6,10,21,13,,1,0,3,15,3,0,0,0,1,4,43,80,26,19,9.157894736842104,100.0,10.536332179930795
MCTS,3,Random,6,Random,3,MCTS,10,,,50,3,4,3,6,15,8,16,,1,2,1,12,4,1,0,1,1,7,53,73,28,9,8.980392156862745,100.0,10.806691449814126
MCTS,2,Random,3,MCTS,10,Random,2,,,25,2,4,2,7,12,25,8,,0,2,0,13,4,0,1,1,2,8,22,33,8,4,8.73076923076923,100.0,11.28476821192053
MCTS,2,Random,5,MCTS,10,Random,6,,,111,2,9,2,7,8,18,6,,1,1,2,15,9,1,0,0,2,12,108,176,59,38,9.321428571428571,100.0,9.103715170278639
MCTS,2,Random,3,MCTS,10,Random,2,,,64,2,3,2,10,14,14,2,,2,0,5,15,3,1,1,1,1,7,65,84,23,45,9.169230769230769,100.0,11.154666666666667
MCTS,2,Random,7,MCTS,10,Random,2,,,95,2,10,1,8,10,21,4,,1,1,4,15,10,0,2,1,2,15,109,150,46,17,9.166666666666666,100.0,9.583333333333334
MCTS,2,Random,2,MCTS,10,Random,3,,,40,,,2,11,11,17,22,,2,1,5,15,2,0,0,0,1,3,45,63,13,30,10.0,100.0,13.944852941176471
MCTS,2,Random,6,MCTS,10,Random,7,,,91,2,8,3,10,22,15,9,,0,2,2,10,8,1,1,0,2,12,86,142,37,14,9.380434782608695,100.0,10.964509394572024
MCTS,3,Random,2,Random,2,MCTS,10,,,51,3,4,3,9,17,17,17,,0,1,2,15,4,0,0,0,2,6,56,84,27,13,9.634615384615385,100.0,10.552380952380952
MCTS,1,MCTS,10,Random,3,Random,5,,,66,1,8,1,10,17,12,17,,0,1,2,15,8,0,1,1,2,12,57,103,31,18,9.696969696969697,100.0,11.365333333333334
MCTS,2,Random,6,MCTS,10,Random,2,,,84,2,7,1,10,9,14,16,,1,0,5,15,7,0,1,1,3,13,104,119,32,14,8.894117647058824,100.0,9.319915254237289
MCTS,1,MCTS,10,Random,3,Random,2,,,40,1,4,1,6,20,12,11,,0,2,0,12,4,2,0,0,2,8,46,52,17,13,9.1,100.0,10.344262295081966
MCTS,1,MCTS,10,Random,3,Random,4,,,61,1,6,1,9,17,17,6,,0,2,0,10,6,1,2,1,2,13,60,105,36,15,9.524590163934427,100.0,9.736842105263158
MCTS,3,Random,2,Random,2,MCTS,11,,,62,3,4,3,8,10,16,23,,0,2,0,15,4,2,1,1,3,12,52,95,25,17,9.238095238095237,100.0,11.071625344352617
