Winner Type,Winner Num,First Player Type,First Player VP,Second Player Type,Second Player VP,Third Player Type,Third Player VP,Fourth Player Type,Fourth Player VP,Number Rounds,Largest Army Player,Largest Army Size,Longest Road Player,Longest Road Size,Num Initial Dots Player 1,Num Initial Dots Player 2,Num Initial Dots Player 3,Num Initial Dots Player 4,MCTS Num Ports,MCTS Num Cities,MCTS Num Settlements,MCTS Num Roads,MCTS Num Knights Played,MCTS Num YOP Played,MCTS Num Monopoly Played,MCTS Num Road Builder Played,MCTS Num VP Dev Cards,MCTS Num Devs Bought,MCTS Total Trades Accepted,MCTS Total Trades Proposed,MCTS Trades Proposed Successfully,Total Trades with Bank,Average Move per Turn,Average Number of Moves Considered by MCTS Algorithm,Average Number of Cycles Run by MCTS Algorithm per Decided Move
Random,3,MCTS,7,Random,3,Random,10,,,58,3,3,1,10,18,15,15,1,0,5,15,0,0,0,0,0,0,81,101,31,13,9.931034482758621,100.0,13.661064425770308
MCTS,1,MCTS,10,Random,6,Random,7,,,113,3,4,1,8,16,11,8,1,2,3,15,4,0,1,0,1,6,123,192,60,47,9.575221238938052,100.0,10.72953216374269
MCTS,1,MCTS,10,Random,4,Random,7,,,52,3,3,1,11,20,12,24,2,1,5,15,0,0,0,0,1,1,59,76,18,37,9.711538461538462,100.0,13.885448916408668
MCTS,1,MCTS,10,Random,3,Random,4,,,68,,,1,9,17,16,13,3,2,4,15,0,0,0,0,0,0,77,108,32,46,9.911764705882353,100.0,12.116009280742459
MCTS,1,MCTS,10,Random,3,Random,3,,,54,,,1,10,19,15,11,1,3,2,15,0,0,1,0,0,1,51,77,30,29,9.24074074074074,100.0,12.009554140127388
MCTS,1,MCTS,10,Random,7,Random,5,,,37,2,3,3,7,24,15,17,1,3,2,15,1,0,0,1,2,4,56,60,13,20,10.108108108108109,100.0,13.670542635658915
MCTS,1,MCTS,10,Random,4,Random,8,,,79,3,7,1,8,14,15,20,2,3,2,15,0,0,0,0,0,0,80,134,45,51,10.037974683544304,100.0,13.830578512396695
MCTS,1,MCTS,10,Random,2,Random,4,,,50,,,1,6,19,12,11,2,2,4,15,1,0,1,0,0,2,38,78,21,23,9.72,100.0,13.944625407166123
MCTS,1,MCTS,10,Random,4,Random,4,,,43,,,2,6,14,7,17,2,4,2,11,2,0,0,0,0,2,39,65,22,25,9.674418604651162,100.0,15.683794466403162
Random,1,Random,10,Random,2,MCTS,2,,,47,,,1,10,13,9,18,0,0,2,5,0,0,0,0,0,0,52,84,28,1,9.638297872340425,100.0,15.550488599348535
MCTS,2,Random,2,MCTS,10,Random,2,,,90,2,3,2,9,7,20,4,1,2,2,15,3,0,0,0,0,3,89,132,40,39,9.0,100.0,9.587786259541986
MCTS,1,MCTS,10,Random,2,Random,3,,,58,,,1,8,23,17,3,0,3,2,15,1,0,0,0,0,1,67,99,19,34,10.051724137931034,100.0,14.280323450134771
MCTS,1,MCTS,10,Random,4,Random,7,,,62,2,5,1,10,20,15,15,1,2,4,15,1,0,1,0,0,2,66,102,29,37,9.983870967741936,100.0,15.005181347150259
Random,3,Random,9,MCTS,2,Random,10,,,102,3,5,1,9,12,13,15,0,0,2,10,0,0,0,0,0,0,133,184,61,3,9.640776699029127,100.0,13.7203125
MCTS,2,Random,2,MCTS,10,Random,6,,,79,3,4,2,11,4,18,12,2,2,3,15,2,1,0,0,1,4,69,122,31,89,9.9125,100.0,13.086868686868687
MCTS,1,MCTS,10,Random,3,Random,7,,,60,3,3,3,11,23,13,17,1,3,4,15,0,0,0,1,0,1,73,105,24,41,10.616666666666667,100.0,14.37528604118993
MCTS,2,Random,6,MCTS,10,Random,5,,,65,3,3,1,10,13,20,12,1,3,3,15,0,0,0,0,1,2,62,108,25,38,9.863636363636363,100.0,11.250608272506083
MCTS,2,Random,6,MCTS,10,Random,2,,,78,,,1,9,6,21,10,2,2,5,15,1,1,0,0,1,3,92,125,28,51,9.544303797468354,100.0,12.358870967741936
MCTS,1,MCTS,10,Random,9,Random,3,,,69,2,4,1,11,22,13,12,1,3,1,15,3,0,0,0,1,4,72,118,41,54,10.202898550724637,100.0,12.417218543046358
MCTS,2,Random,4,MCTS,11,Random,2,,,87,2,6,2,5,15,16,7,0,2,0,14,6,0,0,1,3,10,95,150,45,39,9.681818181818182,100.0,11.477777777777778
