Winner Type,Winner Num,First Player Type,First Player VP,Second Player Type,Second Player VP,Third Player Type,Third Player VP,Fourth Player Type,Fourth Player VP,Number Rounds,Largest Army Player,Largest Army Size,Longest Road Player,Longest Road Size,Num Initial Dots Player 1,Num Initial Dots Player 2,Num Initial Dots Player 3,Num Initial Dots Player 4,MCTS Num Ports,MCTS Num Cities,MCTS Num Settlements,MCTS Num Roads,MCTS Num Knights Played,MCTS Num YOP Played,MCTS Num Monopoly Played,MCTS Num Road Builder Played,MCTS Num VP Dev Cards,MCTS Num Devs Bought,MCTS Total Trades Accepted,MCTS Total Trades Proposed,MCTS Trades Proposed Successfully,Total Trades with Bank,Average Move per Turn,Average Number of Moves Considered by MCTS Algorithm,Average Number of Cycles Run by MCTS Algorithm per Decided Move
MCTS,1,MCTS,10,Random,6,Random,5,,,61,3,3,1,8,19,15,11,,2,3,2,15,1,0,0,0,0,1,82,96,22,90,10.78688524590164,100.0,19.040089086859687
MCTS,3,Random,4,Random,8,MCTS,10,,,66,2,3,3,9,7,16,21,,2,2,3,15,2,0,0,0,1,3,70,101,31,25,9.149253731343284,100.0,10.587467362924283
MCTS,2,Random,2,MCTS,10,Random,4,,,71,,,2,10,12,17,13,,1,2,4,15,0,0,0,0,0,0,80,116,41,29,9.51388888888889,100.0,9.96351931330472
MCTS,3,Random,5,Random,3,MCTS,10,,,46,,,3,10,19,8,16,,1,1,5,15,0,0,0,0,1,1,54,76,22,23,9.808510638297872,100.0,16.47142857142857
MCTS,3,Random,3,Random,4,MCTS,10,,,52,,,3,10,9,15,22,,3,2,4,15,0,1,0,0,0,1,69,71,27,52,9.830188679245284,100.0,14.226256983240223
MCTS,3,Random,3,Random,4,MCTS,10,,,74,2,4,3,13,8,17,14,,1,1,5,15,2,1,0,0,1,5,88,113,24,12,9.0,100.0,8.799065420560748
MCTS,2,Random,3,MCTS,10,Random,5,,,41,2,3,2,6,7,23,17,,1,2,2,15,3,1,1,0,0,5,56,69,11,13,10.095238095238095,100.0,12.912280701754385
MCTS,2,Random,8,MCTS,10,Random,4,,,50,1,5,2,11,14,17,10,,2,2,4,15,0,0,1,0,0,1,52,87,23,15,9.843137254901961,100.0,14.241830065359476
MCTS,1,MCTS,10,Random,5,Random,2,,,37,,,1,11,20,14,7,,2,2,4,15,0,0,0,0,0,0,39,62,17,25,10.135135135135135,100.0,16.68312757201646
MCTS,2,Random,7,MCTS,10,Random,3,,,63,1,7,2,7,15,19,10,,0,2,1,15,3,0,0,0,3,6,79,102,22,24,9.640625,100.0,12.784615384615385
MCTS,3,Random,6,Random,9,MCTS,10,,,74,3,5,3,8,6,17,18,,1,1,4,15,5,1,0,0,0,6,82,117,32,63,9.853333333333333,100.0,12.822175732217573
MCTS,2,Random,5,MCTS,10,Random,2,,,60,,,2,9,15,22,8,,0,3,2,15,1,0,0,0,0,1,66,92,28,35,9.491803278688524,100.0,12.012468827930174
MCTS,2,Random,4,MCTS,10,Random,4,,,55,2,3,1,8,14,20,6,,1,2,3,15,3,0,1,0,1,5,65,94,27,15,9.910714285714286,100.0,13.743801652892563
MCTS,2,Random,2,MCTS,10,Random,3,,,43,,,2,7,4,23,9,,1,1,5,15,2,0,0,0,1,3,46,69,22,23,9.704545454545455,100.0,13.689655172413794
Random,3,MCTS,9,Random,2,Random,10,,,64,3,3,1,7,22,7,21,,0,1,4,15,1,1,0,0,1,3,88,109,32,43,10.328125,100.0,12.178823529411765
