Winner Type,Winner Num,First Player Type,First Player VP,Second Player Type,Second Player VP,Third Player Type,Third Player VP,Fourth Player Type,Fourth Player VP,Number Rounds,Largest Army Player,Largest Army Size,Longest Road Player,Longest Road Size,Num Initial Dots Player 1,Num Initial Dots Player 2,Num Initial Dots Player 3,Num Initial Dots Player 4,MCTS Num Ports,MCTS Num Cities,MCTS Num Settlements,MCTS Num Roads,MCTS Num Knights Played,MCTS Num YOP Played,MCTS Num Monopoly Played,MCTS Num Road Builder Played,MCTS Num VP Dev Cards,MCTS Num Devs Bought,MCTS Total Trades Accepted,MCTS Total Trades Proposed,MCTS Trades Proposed Successfully,Total Trades with Bank,Average Move per Turn,Average Number of Moves Considered by MCTS Algorithm,Average Number of Cycles Run by MCTS Algorithm per Decided Move
MCTS,2,Random,2,MCTS,10,Random,2,,,30,,,2,6,7,23,12,,1,3,2,15,1,0,0,0,0,1,30,50,9,7,9.387096774193548,100.0,12.166666666666666
MCTS,3,Random,2,Random,3,MCTS,10,,,40,,,3,9,9,17,22,,1,2,3,15,0,0,0,0,1,1,45,64,29,23,9.707317073170731,100.0,10.688644688644688
Random,1,Random,10,MCTS,5,Random,6,,,80,3,4,1,6,13,22,9,,1,2,1,11,2,0,0,0,0,2,85,126,40,70,10.0875,100.0,12.355432780847146
Random,1,Random,10,MCTS,2,Random,9,,,116,3,9,1,6,14,11,14,,0,0,2,4,0,0,0,0,0,0,144,216,61,15,9.862068965517242,100.0,12.883221476510068
Random,1,Random,10,Random,4,MCTS,3,,,64,1,3,1,10,13,18,20,,1,0,3,11,0,0,0,0,0,0,71,105,33,18,9.390625,100.0,12.088948787061994
Random,1,Random,10,Random,2,MCTS,2,,,75,1,4,1,6,21,9,19,,0,0,2,3,0,0,0,0,0,0,104,137,45,1,9.613333333333333,100.0,13.582150101419879
MCTS,1,MCTS,10,Random,5,Random,2,,,39,2,4,1,6,20,17,7,,0,4,0,15,2,1,0,0,0,3,44,65,16,14,9.76923076923077,100.0,12.14655172413793
MCTS,1,MCTS,10,Random,2,Random,2,,,56,,,1,6,22,11,17,,1,3,0,15,2,0,0,0,2,4,69,94,26,37,10.321428571428571,100.0,12.883905013192612
MCTS,2,Random,4,MCTS,10,Random,6,,,71,3,6,2,8,10,24,13,,0,2,3,15,2,0,0,0,1,3,95,121,38,40,9.722222222222221,100.0,12.645922746781116
Random,1,Random,10,Random,5,MCTS,3,,,94,1,9,1,6,19,12,17,,0,1,1,3,0,0,0,0,0,0,143,177,55,1,9.574468085106384,100.0,13.862341772151899
Random,2,MCTS,3,Random,11,Random,3,,,63,2,3,2,10,24,17,11,,0,1,1,3,0,0,0,0,0,0,93,112,30,10,9.857142857142858,100.0,17.25874125874126
MCTS,2,Random,4,MCTS,10,Random,3,,,80,2,7,2,11,6,19,8,,1,1,2,15,7,0,2,0,2,11,80,117,33,30,8.938271604938272,100.0,9.844444444444445
