Winner Type,Winner Num,First Player Type,First Player VP,Second Player Type,Second Player VP,Third Player Type,Third Player VP,Fourth Player Type,Fourth Player VP,Number Rounds,Largest Army Player,Largest Army Size,Longest Road Player,Longest Road Size,Num Initial Dots Player 1,Num Initial Dots Player 2,Num Initial Dots Player 3,Num Initial Dots Player 4,MCTS Num Ports,MCTS Num Cities,MCTS Num Settlements,MCTS Num Roads,MCTS Num Knights Played,MCTS Num YOP Played,MCTS Num Monopoly Played,MCTS Num Road Builder Played,MCTS Num VP Dev Cards,MCTS Num Devs Bought,MCTS Total Trades Accepted,MCTS Total Trades Proposed,MCTS Trades Proposed Successfully,Total Trades with Bank,Average Move per Turn,Average Number of Moves Considered by MCTS Algorithm,Average Number of Cycles Run by MCTS Algorithm per Decided Move
MCTS,3,Random,8,Random,4,MCTS,11,,,83,3,3,1,12,11,7,18,,2,3,3,15,3,0,0,0,0,3,100,142,42,77,10.261904761904763,100.0,12.985989492119089
Random,1,Random,10,Random,4,MCTS,2,,,50,1,4,1,8,21,13,12,,1,0,2,2,0,0,0,0,0,0,85,94,35,0,9.72,100.0,15.185294117647059
MCTS,1,MCTS,10,Random,2,Random,2,,,37,1,4,1,6,24,13,20,,0,2,0,12,4,0,0,1,2,7,48,55,15,17,9.91891891891892,100.0,14.95703125
MCTS,1,MCTS,10,Random,2,Random,4,,,60,3,3,1,10,20,7,7,,0,2,1,13,1,1,1,0,3,6,58,90,22,24,9.45,100.0,10.057065217391305
MCTS,2,Random,3,MCTS,10,Random,2,,,42,,,2,9,22,17,6,,0,1,5,15,2,0,0,0,1,3,49,61,17,10,9.116279069767442,100.0,12.250980392156864
Random,1,Random,10,Random,4,MCTS,2,,,59,1,3,1,6,22,7,21,,0,0,2,3,0,0,0,0,0,0,84,109,33,1,9.627118644067796,100.0,16.90561224489796
Random,3,Random,5,MCTS,4,Random,10,,,87,3,3,2,7,12,19,16,,0,0,2,15,0,0,0,0,0,0,102,154,46,8,9.545454545454545,100.0,15.183712121212121
MCTS,2,Random,4,MCTS,10,Random,3,,,58,,,2,8,8,15,8,,1,2,4,15,0,0,0,0,0,0,65,88,28,17,8.779661016949152,100.0,9.137614678899082
MCTS,3,Random,4,Random,6,MCTS,10,,,56,,,3,10,10,15,20,,0,2,4,15,0,0,0,0,0,0,72,87,21,12,9.473684210526315,100.0,12.130919220055711
MCTS,3,Random,5,Random,4,MCTS,10,,,50,,,3,7,14,17,18,,0,3,2,15,1,0,0,0,0,1,54,80,29,36,10.215686274509803,100.0,14.070175438596491
MCTS,2,Random,3,MCTS,11,Random,2,,,55,2,4,2,12,21,25,8,,1,1,5,15,4,0,0,0,0,4,63,85,23,43,9.821428571428571,100.0,12.82768361581921
Random,1,Random,10,Random,5,MCTS,2,,,54,,,1,8,21,8,20,,0,0,2,2,0,0,0,0,0,0,84,93,30,0,9.333333333333334,100.0,14.023255813953488
Random,3,Random,3,MCTS,6,Random,10,,,62,3,5,3,12,14,13,14,,1,2,2,15,0,0,0,0,0,0,81,103,31,26,9.873015873015873,100.0,15.181347150259068
MCTS,3,Random,4,Random,2,MCTS,10,,,66,,,3,11,12,6,20,,1,3,2,15,0,0,0,0,0,0,74,107,36,24,9.462686567164178,100.0,10.817961165048544
MCTS,2,Random,7,MCTS,10,Random,4,,,65,3,4,2,10,19,18,12,,1,1,4,15,1,0,1,1,2,5,64,112,30,22,9.681818181818182,100.0,12.331658291457286
Random,1,Random,11,Random,5,MCTS,7,,,111,1,3,3,10,18,12,20,,0,2,1,11,0,0,0,0,0,0,145,202,55,61,10.387387387387387,100.0,18.45149253731343
MCTS,2,Random,3,MCTS,10,Random,5,,,66,3,5,2,9,17,18,12,,2,0,5,15,1,0,1,0,3,5,68,111,31,37,10.029850746268657,100.0,13.902843601895734
MCTS,1,MCTS,10,Random,7,Random,3,,,61,2,5,1,11,21,15,16,,0,3,2,14,2,0,0,0,0,2,74,109,26,42,10.426229508196721,100.0,15.336561743341404
MCTS,3,Random,4,Random,7,MCTS,10,,,74,,,2,10,13,12,21,,1,4,2,15,0,0,0,0,0,0,91,131,42,69,10.546666666666667,100.0,15.75894538606403
MCTS,1,MCTS,10,Random,6,Random,3,,,61,2,5,1,11,20,15,10,,1,2,4,15,1,0,0,0,0,1,91,109,14,25,10.065573770491802,100.0,13.270408163265307
MCTS,1,MCTS,10,Random,5,Random,4,,,64,,,1,12,18,18,13,,2,3,2,15,0,0,0,0,0,0,70,104,31,45,9.96875,100.0,14.1275
Random,3,Random,5,MCTS,6,Random,10,,,86,,,3,9,15,22,14,,0,1,4,13,2,0,0,0,0,2,110,164,40,20,10.28735632183908,100.0,18.602671118530886
MCTS,3,Random,6,Random,6,MCTS,10,,,47,1,5,3,11,19,23,16,,1,2,4,15,0,0,0,0,0,0,48,85,20,8,9.770833333333334,100.0,16.358620689655172
MCTS,3,Random,7,Random,8,MCTS,10,,,85,2,5,3,11,14,10,18,,1,2,4,15,1,0,0,0,0,1,95,149,46,44,10.046511627906977,100.0,12.197106690777577
MCTS,2,Random,6,MCTS,10,Random,4,,,65,1,3,1,8,17,19,11,,2,2,4,15,2,1,0,1,2,6,68,101,26,28,9.621212121212121,100.0,11.627450980392156
MCTS,2,Random,6,MCTS,10,Random,3,,,82,,,2,9,17,15,15,,0,1,5,15,0,0,0,0,1,1,104,140,39,13,9.53012048192771,100.0,9.308977035490605
MCTS,1,MCTS,10,Random,8,Random,2,,,62,2,3,1,10,23,16,12,,2,2,4,15,1,0,0,1,0,2,78,105,33,59,10.548387096774194,100.0,13.148837209302325
